CSDUID,CSD,Period,IndicatorSummaryDescription,Rental Unit Type,UnitOfMeasure,OriginalValue
4816037,Wood Buffalo,2020,Average Residential Rent (2-bedroom units),2 - bedroom,$,1373.33000
4816037,Wood Buffalo,2021,Average Residential Rent (2-bedroom units),2 - bedroom,$,1338.67000
4816037,Wood Buffalo,2022,Average Residential Rent (2-bedroom units),2 - bedroom,$,1306.33000
4810066,Bruderheim,2014,Average Residential Rent (2-bedroom units),2 - bedroom,$,1895.00000
4810066,Bruderheim,2015,Average Residential Rent (2-bedroom units),2 - bedroom,$,1895.00000
4810066,Bruderheim,2016,Average Residential Rent (2-bedroom units),2 - bedroom,$,1895.00000
4810066,Bruderheim,2017,Average Residential Rent (2-bedroom units),2 - bedroom,$,1649.00000
4810066,Bruderheim,2018,Average Residential Rent (2-bedroom units),2 - bedroom,$,1470.00000
4810066,Bruderheim,2021,Average Residential Rent (2-bedroom units),2 - bedroom,$,1245.00000
4811011,Millet,2013,Average Residential Rent (2-bedroom units),2 - bedroom,$,848.00000
4811011,Millet,2014,Average Residential Rent (2-bedroom units),2 - bedroom,$,873.00000
4811011,Millet,2015,Average Residential Rent (2-bedroom units),2 - bedroom,$,945.00000
4811011,Millet,2016,Average Residential Rent (2-bedroom units),2 - bedroom,$,968.00000
4811011,Millet,2017,Average Residential Rent (2-bedroom units),2 - bedroom,$,695.00000
4811011,Millet,2018,Average Residential Rent (2-bedroom units),2 - bedroom,$,925.00000
4811011,Millet,2021,Average Residential Rent (2-bedroom units),2 - bedroom,$,912.00000
4811001,Wetaskiwin County No. 10,1987,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,1988,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,1989,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,1990,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,1991,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,1992,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,1993,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,1994,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,1995,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,1996,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,1997,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,1998,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,1999,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,2000,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,2001,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,2002,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,2003,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,2004,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,2005,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,2006,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,2007,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,2008,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,2009,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,2010,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,2011,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,2012,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,2013,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,2014,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,2015,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,2016,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,2017,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,2018,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,2019,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,2020,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,2021,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811001,Wetaskiwin County No. 10,2022,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811002,Wetaskiwin,1987,Average Residential Rent (2-bedroom units),2 - bedroom,$
4811002,Wetaskiwin,1988,Average Residential Rent (2-bedroom units),2 - bedroom,$,371.00000
4811002,Wetaskiwin,1989,Average Residential Rent (2-bedroom units),2 - bedroom,$,378.00000
4811002,Wetaskiwin,1990,Average Residential Rent (2-bedroom units),2 - bedroom,$,393.00000
4811002,Wetaskiwin,1991,Average Residential Rent (2-bedroom units),2 - bedroom,$,406.00000
4811002,Wetaskiwin,1992,Average Residential Rent (2-bedroom units),2 - bedroom,$,416.50000
4811002,Wetaskiwin,1993,Average Residential Rent (2-bedroom units),2 - bedroom,$,417.50000
4811002,Wetaskiwin,1994,Average Residential Rent (2-bedroom units),2 - bedroom,$,433.50000
4811002,Wetaskiwin,1995,Average Residential Rent (2-bedroom units),2 - bedroom,$,436.50000
4811002,Wetaskiwin,1996,Average Residential Rent (2-bedroom units),2 - bedroom,$,442.00000
4811002,Wetaskiwin,1997,Average Residential Rent (2-bedroom units),2 - bedroom,$,436.00000
4811002,Wetaskiwin,1998,Average Residential Rent (2-bedroom units),2 - bedroom,$,438.00000
4811002,Wetaskiwin,1999,Average Residential Rent (2-bedroom units),2 - bedroom,$,444.50000
4811002,Wetaskiwin,2000,Average Residential Rent (2-bedroom units),2 - bedroom,$,454.00000
4811002,Wetaskiwin,2001,Average Residential Rent (2-bedroom units),2 - bedroom,$,490.50000
4811002,Wetaskiwin,2002,Average Residential Rent (2-bedroom units),2 - bedroom,$,514.00000
4811002,Wetaskiwin,2003,Average Residential Rent (2-bedroom units),2 - bedroom,$,528.00000
4811002,Wetaskiwin,2004,Average Residential Rent (2-bedroom units),2 - bedroom,$,531.00000
4811002,Wetaskiwin,2005,Average Residential Rent (2-bedroom units),2 - bedroom,$,538.50000
4811002,Wetaskiwin,2006,Average Residential Rent (2-bedroom units),2 - bedroom,$,573.00000
4811002,Wetaskiwin,2007,Average Residential Rent (2-bedroom units),2 - bedroom,$,635.50000
4811002,Wetaskiwin,2008,Average Residential Rent (2-bedroom units),2 - bedroom,$,718.00000
4811002,Wetaskiwin,2009,Average Residential Rent (2-bedroom units),2 - bedroom,$,769.50000
4811002,Wetaskiwin,2010,Average Residential Rent (2-bedroom units),2 - bedroom,$,785.00000
4811002,Wetaskiwin,2011,Average Residential Rent (2-bedroom units),2 - bedroom,$,806.00000
4811002,Wetaskiwin,2012,Average Residential Rent (2-bedroom units),2 - bedroom,$,818.00000
4811002,Wetaskiwin,2013,Average Residential Rent (2-bedroom units),2 - bedroom,$,881.50000
4811002,Wetaskiwin,2014,Average Residential Rent (2-bedroom units),2 - bedroom,$,954.00000
4811002,Wetaskiwin,2015,Average Residential Rent (2-bedroom units),2 - bedroom,$,989.00000
4811002,Wetaskiwin,2016,Average Residential Rent (2-bedroom units),2 - bedroom,$,933.00000
4811002,Wetaskiwin,2017,Average Residential Rent (2-bedroom units),2 - bedroom,$,994.00000
4811002,Wetaskiwin,2018,Average Residential Rent (2-bedroom units),2 - bedroom,$,970.00000
4811002,Wetaskiwin,2019,Average Residential Rent (2-bedroom units),2 - bedroom,$,1006.00000
4811002,Wetaskiwin,2020,Average Residential Rent (2-bedroom units),2 - bedroom,$,1056.00000
4811002,Wetaskiwin,2021,Average Residential Rent (2-bedroom units),2 - bedroom,$,1051.75000
4811002,Wetaskiwin,2022,Average Residential Rent (2-bedroom units),2 - bedroom,$,1090.00000
4817093,High Level,2005,Average Residential Rent (2-bedroom units),2 - bedroom,$,781.00000
4817093,High Level,2006,Average Residential Rent (2-bedroom units),2 - bedroom,$,787.00000
4817093,High Level,2007,Average Residential Rent (2-bedroom units),2 - bedroom,$,822.00000
4817093,High Level,2008,Average Residential Rent (2-bedroom units),2 - bedroom,$,823.00000
4817093,High Level,2009,Average Residential Rent (2-bedroom units),2 - bedroom,$,797.00000
4817093,High Level,2010,Average Residential Rent (2-bedroom units),2 - bedroom,$,795.00000
4817093,High Level,2011,Average Residential Rent (2-bedroom units),2 - bedroom,$,801.00000
4817093,High Level,2012,Average Residential Rent (2-bedroom units),2 - bedroom,$,841.00000
4817093,High Level,2013,Average Residential Rent (2-bedroom units),2 - bedroom,$,876.00000
4817093,High Level,2014,Average Residential Rent (2-bedroom units),2 - bedroom,$,895.00000
4817093,High Level,2015,Average Residential Rent (2-bedroom units),2 - bedroom,$,910.00000
4817093,High Level,2016,Average Residential Rent (2-bedroom units),2 - bedroom,$,921.00000
4817093,High Level,2017,Average Residential Rent (2-bedroom units),2 - bedroom,$,938.00000
4817093,High Level,2018,Average Residential Rent (2-bedroom units),2 - bedroom,$,969.00000
4817093,High Level,2021,Average Residential Rent (2-bedroom units),2 - bedroom,$,1028.00000
4813048,Athabasca,2005,Average Residential Rent (2-bedroom units),2 - bedroom,$,580.00000
4813048,Athabasca,2006,Average Residential Rent (2-bedroom units),2 - bedroom,$,626.00000
4813048,Athabasca,2007,Average Residential Rent (2-bedroom units),2 - bedroom,$,797.00000
4813048,Athabasca,2008,Average Residential Rent (2-bedroom units),2 - bedroom,$,818.00000
